id,text,data,label,score,info
56675044364,蔡婊子这是找死！！也罢，这样武统就会来得更早些,蔡婊子 这 是 找死 ！ ！ 也罢 ， 这样 武统 就 会 来得 更 早些,0,0.04468335211277008,
56700529225,查处是好 处理不疼不痒 无震慑力,查处 是 好 处理 不疼不痒 无 震慑力,0,0.021482912823557854,
56695273708,他妈的这个老女人是他妈的更年期综合症,他妈的 这个 老 女人 是 他妈的 更年期 综合症,0,0.0002616120327729732,
56674664343,弊在现在系靓女好窥别人的老公多呢！以多男人请饮请喝请玩为荣呢！那求包养的翘着尾巴通街威风地行，无被包的少男人的心里痒都到似十月介菜的靓女！………小编，你话呢！,弊 在 现在 系 靓女 好 窥 别人 的 老公 多 呢 ！ 以 多 男人 请 饮 请 喝 请 玩 为 荣 呢 ！ 那 求 包养 的 翘着 尾巴 通街 威风 地 行 ， 无 被包 的 少 男人 的 心里 痒 都 到 似 十月 介 菜 的 靓女 ！ … … … 小编 ， 你 话 呢 ！,0,0.14047560095787048,
56658963223,这个臭婊子去死吧,这个 臭 婊子 去死吧,0,0.42016443610191345,
56671890424,巨魔打瑞文怼死他,巨魔 打瑞文 怼 死 他,0,0.10889603942632675,
56688227881,这种女人和哪婊子差不多拿宝强出名现在又不认了可笑,这种 女人 和 哪 婊子 差不多 拿 宝 强 出名 现在 又 不认 了 可笑,0,0.23085160553455353,
56640635271,操中国也有绿卡,操 中国 也 有 绿卡,0,0.25834205746650696,
56643934354,开公交的都是婊子养的,开 公交 的 都 是 婊子 养 的,0,0.3177987039089203,
56642329740,处女之身给那个人，就与那人成家，说什么年轻不懂事都是借口,处女 之 身 给 那 个人 ， 就 与 那人 成 家 ， 说 什么 年轻 不 懂事 都 是 借口,0,0.2292604297399521,
56647578520,巴不得，干起来，擦枪走火才好，不想再退缩了，,巴不得 ， 干 起来 ， 擦枪 走火 才 好 ， 不想 再 退缩 了 ，,0,0.2058655172586441,
56627534753,婊子永远是婊子，即使从良也过不了苦日子。,婊子 永远 是 婊子 ， 即使 从良 也 过 不了 苦 日子 。,0,0.34088656306266785,
56647470210,看完这篇报道牙痒痒的，可以骂人吗？,看完 这 篇 报道 牙痒痒 的 ， 可以 骂人 吗 ？,0,0.07886020839214325,
56690178401,说真的，都是垃圾，一个垃圾踩着另一个垃圾的头上来说话而已……并且还顺带捅了那个垃圾一刀,说真的 ， 都 是 垃圾 ， 一个 垃圾 踩 着 另一个 垃圾 的 头 上来 说话 而已 … … 并且 还 顺带 捅 了 那个 垃圾 一刀,0,0.23158174753189087,
56640328635,点赞。我也想捅这帮法赖。可我不敢。…………,点赞 。 我 也 想 捅 这 帮 法 赖 。 可 我 不敢 。 … … … …,0,0.32567206025123596,
56667480557,韩国宝批龙最喜欢他妈的装！真心觉得韩国人比日本人更让我觉得愤怒！,韩国 宝批龙 最 喜欢 他妈的 装 ！ 真心 觉得 韩国人 比 日本人 更 让 我 觉得 愤怒 ！,0,0.4517662823200226,
56684133872,表示重口味的右上角！,表示 重口味 的 右上角 ！,0,0.13967172801494598,
56682706596,老百姓一辈的血都被房地产吸干了！伤蛋！！不是刚需，而是身材虚！！,老百姓 一 辈 的 血 都 被 房地产 吸 干了 ！ 伤 蛋 ！ ！ 不是 刚需 ， 而是 身材 虚 ！ ！,0,0.633044421672821,
56653416371,军长？旁边的婊子也真是够了,军长 ？ 旁边 的 婊子 也 真是 够了,0,0.4165392220020294,
56702456692,那个黑衣服被刀刺死的叫声😂😂😂,那个 黑 衣服 被 刀 刺死 的 叫声 😂 😂 😂,0,0.5195983052253723,
56681705263,没奶茶好看好吧？,没 奶茶 好看 好吧 ？,0,0.11997226625680923,
56714445633,心疼老奶奶。,心疼 老奶奶 。,0,0.08199471235275269,
56637493820,没穿内裤,没 穿 内裤,0,0.2994821071624756,
56650105425,原味内裤是什么鬼,原味 内裤 是 什么 鬼,0,0.09541014581918716,
56692636653,就应该象苏联一样，对战犯决不留情，该杀就杀该打就打，不象中国拿战象祖宗对待，给他白米馒头吃，自已饿肚子，勒紧库带，真是给他惯的毛病，所以鬼子不怕你。,就 应该 象 苏联 一样 ， 对 战犯 决不 留情 ， 该 杀 就 杀 该 打 就 打 ， 不象 中国 拿 战象 祖宗 对待 ， 给他 白米 馒头 吃 ， 自已 饿肚子 ， 勒紧 库 带 ， 真是 给他 惯 的 毛病 ， 所以 鬼子 不怕 你 。,0,0.003653226187452674,
56645483934,这是驴屎吧，还律师,这 是 驴屎 吧 ， 还 律师,0,0.0690900906920433,
56674409746,自从还好看了 梅姐的重生 这吻幛，试着调理了一段时间，现在每次激情同房最少都20分钟。,自从 还 好看 了 梅姐 的 重生 这 吻幛 ， 试着 调理 了 一段 时间 ， 现在 每次 激情 同房 最少 都 20 分钟 。,0,0.007515253033488989,
56639963048,北仑大矸离婚女人陈宥伊是婊子，不如养条狗,北仑大矸 离婚 女人 陈宥伊 是 婊子 ， 不如 养条狗,0,0.2478962242603302,
56642396811,来吧美女加我微信我们交朋友，我有车有房，我养的起你。,来吧 美女 加 我 微信 我们 交 朋友 ， 我 有车有房 ， 我 养 的 起 你 。,0,0.11416549980640411,
56651446677,喜欢狗狗但不喜欢它舔孩子,喜欢 狗狗 但 不 喜欢 它 舔 孩子,0,0.11723308265209198,
56699088273,"全是地雷啊，地雷阵。选你当家，又不让你管事！逗你玩。前进不得，后退不能，你不变成狼，这些狼要吃你！
",全 是 地雷 啊 ， 地雷阵 。 选 你 当家 ， 又 不让 你 管事 ！ 逗你玩 。 前进 不得 ， 后退 不能 ， 你 不 变成 狼 ， 这些 狼 要 吃 你 ！,0,0.011494682170450687,
56636144089,狗咬狗，一嘴毛！,狗咬狗 ， 一 嘴 毛 ！,0,0.047608405351638794,
56678678758,千言万语汇成一个字:“唉”,千言万语 汇成 一个 字 : “ 唉 ”,0,0.999998927116394,
56693415138,网管给我找个身材好点的妹子陪我上网,网管 给 我 找 个 身材 好 点 的 妹子 陪 我 上网,0,0.056933511048555374,
56692222078,牛逼大啦！,牛逼 大 啦 ！,0,0.5569557547569275,
56705839023,要我我就泼回去，往她眼睛里泼，眼睛给她泼瞎！把她全身泼了，世上怎有这么恶毒的女人！,要 我 我 就 泼 回去 ， 往 她 眼睛 里 泼 ， 眼睛 给 她 泼瞎 ！ 把 她 全身 泼 了 ， 世上 怎 有 这么 恶毒 的 女人 ！,0,0.09700823575258255,
56646378570,忏悔曲和黑色星期天听过。,忏悔曲 和 黑色 星期天 听 过 。,0,0.23595280945301056,
56691297192,人家地盘想咋干咋干，你管的着吗？再说人家在乎你吗？除了谴责你还会干什么？,人 家 地盘 想 咋 干 咋 干 ， 你 管 的 着 吗 ？ 再 说 人 家 在乎你 吗 ？ 除了 谴责 你 还 会 干什么 ？,0,0.11302316188812256,
56698981664,→_→我戒撸已经4天了，加油😏,→ _ → 我 戒撸 已经 4天 了 ， 加油 😏,0,0.014567333273589611,
56659473402,最后剪头发还有捶背按摩，原来在清朝就有,最后 剪头发 还有 捶背 按摩 ， 原来 在清朝 就 有,0,0.004489337094128132,
56682407230,太屌了，这个 谷永尔 先生在 微博上发的 海泰发展 真的就上啦，真金不怕火炼德,太 屌 了 ， 这个 谷永尔 先生 在 微博 上 发 的 海泰 发展 真 的 就 上 啦 ， 真金不怕火炼 德,0,0.07035175710916519,
56668543212,马婊子这个抱人的像，乡得不得了？宝强那时候你也是明人，真的瞎眼了，还是没见女人？还是没吃过猪肉？那么狂野把经济权全交给这块毒肉？,马婊子 这个 抱 人 的 像 ， 乡 得 不得了 ？ 宝 强 那时候 你 也是 明人 ， 真 的 瞎眼 了 ， 还 是 没 见 女人 ？ 还 是 没吃过 猪肉 ？ 那么 狂野 把 经济 权 全 交给 这 块 毒 肉 ？,0,0.1624680459499359,
56684076417,羊坤不是被那婊子糟蹋过了吧,羊坤 不是 被 那 婊子 糟蹋 过 了 吧,0,0.28960558772087097,
56644973890,人言汇成愁海，心酸难捱！,人 言 汇成 愁 海 ， 心酸难捱 ！,0,1.6753906119695968e-19,
56697151514,话音未落立马打脸啪啪啪,话音未落 立马 打 脸 啪啪啪,0,0.02607990987598896,
56645501805,现在就是摇号无望，更多人摇新能源指标，目的是先有车开，能代步能接人能挡风遮雨，更重要的是逐步取消新能源补助，将成本更高，就是连新能源也越来越少了。,现在 就是 摇 号 无望 ， 更 多人 摇 新 能源 指标 ， 目的 是 先 有 车 开 ， 能 代步 能 接人 能 挡风遮雨 ， 更 重要 的 是 逐步 取消 新 能源 补助 ， 将 成本 更高 ， 就是 连 新 能源 也 越来越 少 了 。,0,0.0005281913327053189,
56639740914,因为狗能打持久战,因为 狗 能 打 持久战,0,0.10790819674730301,
56706502531,我车后面常年拉着一门意大利炮，根本没人管,我 车 后面 常年 拉 着 一门 意大利 炮 ， 根本 没人管,0,0.1207139641046524,
