id,text,data,label,score,info
1594263528879112,来帮我吹吹,来 帮 我 吹吹,2,0.15418092906475067,
1594052890964996,像狗叼，黑狗叼，中国人女人，嫁非洲黑人，叼坏种，,像 狗叼 ， 黑狗叼 ， 中国 人 女人 ， 嫁 非洲 黑人 ， 叼 坏 种 ，,2,0.2750544846057892,re0 
1594053124024327,这女的贱到喜欢黑东西插，还笑得那么开心，我道是觉得得脏,这 女 的 贱 到 喜欢 黑 东西 插 ， 还 笑 得 那么 开心 ， 我 道 是 觉得 得脏,2,0.7183144688606262,
1594087701911560,中国女人想让黑人玩，就让黑人玩吧，玩死算了，,中国 女人 想 让 黑人 玩 ， 就让 黑人 玩 吧 ， 玩死 算了 ，,2,0.26188668608665466,
6588694759436954,小生不才，误观姑娘之秀体，夜不能寐，目之所及皆为波涛之状，随身起取簿纸，闭目手握而捣之，溢出而满顿汝也不过如此。。。。。。,小生不才 ， 误 观 姑娘 之 秀 体 ， 夜不能寐 ， 目之所 及 皆 为 波涛 之 状 ， 随身 起 取 簿纸 ， 闭目 手握 而 捣 之 ， 溢出 而 满 顿 汝 也 不过如此 。 。 。 。 。 。,2,0.6066620349884033,
786537453645364,坐上来自己动，,坐 上来 自己 动 ，,2,0.3814248740673065,
1594260058761224,这娘门能过淫,这 娘门 能 过淫,2,0.9626677632331848,
1594098192950279,火山的老娘门，香亲没有一个能配上,火山 的 老娘门 ， 香 亲 没有 一个 能 配上,2,0.30539533495903015,
1594588560301059,娘门长的真美歌唱的也甜。,娘门 长 的 真 美 歌唱 的 也 甜 。,2,0.16364768147468567,
1594591460160526,东北娘门的就这德行，国内出名！,东北 娘门 的 就 这 德行 ， 国内 出名 ！,2,0.5632725358009338,
1594607698660356,败家娘门不能要,败家 娘门 不能 要,2,0.40337488055229187,
1594611952534536,这娘门火了,这 娘门 火 了,2,0.736539363861084,
1594618850398212,一看就是小娘门,一 看 就是 小娘门,2,0.1505824327468872,
1594207603284996,介倒霉娘门儿,介 倒霉 娘 门儿,2,0.14397388696670532,
1594618873778189,一个日本种肯定是一个野性不改的娘门,一个 日本 种 肯定 是 一个 野性 不 改 的 娘门,2,0.4355633854866028,
1594182505866244,那来虎娘门天天辟辟,那 来 虎娘 门 天天 辟辟,2,0.731995701789856,
1594194503404547,四个大娘门,四个 大娘 门,2,0.4124068021774292,
1594169298440200,败家娘门,败家 娘门,2,0.500447154045105,
1594101078841348,这个B娘门害的我们国家和民族好苦啊!,这个 B娘 门 害 的 我们 国家 和 民族 好 苦 啊 !,2,0.10861266404390335,
1594115946512398,这虎娘门！,这 虎 娘门 ！,2,0.5215332508087158,
1594571665661965,这种娘门我喜欢,这种 娘门 我 喜欢,2,0.6835028529167175,
1594595096572942,这个男人真找不到女的找这个好吃懒做的娘门,这个 男人 真 找不到 女 的 找 这个 好吃懒做 的 娘门,2,0.5266358852386475,
1594596924249095,这娘门丢了咱大中华女人的脸,这 娘门 丢 了 咱 大中华 女人 的 脸,2,0.3198595643043518,
837649,这女的被破了,这 女 的 被 破 了,2,0.30183255672454834,
973583,这姑娘不是处,这 姑娘 不是 处,2,0.1677820086479187,
985738,这女的一定不是处,这 女 的 一定 不是 处,2,0.19299408793449402,
78367453784836,这姑娘估计还是个处。,这 姑娘 估计 还 是 个 处 。,2,0.1677820086479187,
86678673,小小年纪已不是处？,小小 年纪 已 不是 处 ？,2,0.1472516804933548,
45505907,想到刚破完处的女孩第二天就要死了，不知狱警作何感想,想到 刚 破 完 处 的 女孩 第二天 就要 死 了 ， 不 知 狱警 作何 感想,2,0.09999636560678482,
1594572211293198,邦硬,邦硬,2,0.7956380844116211,
1594373798796366,笑的老子邦硬,笑 的 老子 邦硬,2,0.8872549533843994,re0 
1594384100280334,什么路人，那是邦硬,什么 路人 ， 那 是 邦硬,2,0.6862421035766602,re0 
1594195057660935,坎德沃.基尔.邦硬,坎德沃 . 基尔 . 邦硬,2,0.7938147783279419,
1594059633521672,有的中国女人就是喜欢黑色又粗又大的家伙,有 的 中国 女人 就是 喜欢 黑色 又 粗 又 大 的 家伙,2,0.17019975185394287,re0 
1594429507063816,邦硬,邦硬,2,0.7956380844116211,re0 
1594180048863235,前奏听得我🐔儿邦硬,前奏 听得 我 🐔儿 邦硬,2,0.9994444251060486,
1594257394394119,看的我基尔邦硬,看 的 我 基尔邦硬,2,0.633745014667511,
1594410352309255,大早上看的我🐔儿邦硬。,大 早上 看 的 我 🐔儿 邦硬 。,2,0.9991412162780762,re0 
1594043824960516,这个女人就是离了，也要找个黑人，为啥，黑人的太大了！…,这个 女人 就是 离 了 ， 也 要 找 个 黑人 ， 为啥 ， 黑人 的 太 大了 ！ …,2,0.1459314376115799,
1594075402217485,这女人喜欢黑人的东西大,这 女人 喜欢 黑人 的 东西 大,2,0.616923987865448,
1594082224826371,中国广州的女孩怎么这么贱呢，黑人干真的就舒服吗,中国 广州 的 女孩 怎么 这么 贱 呢 ， 黑人 干 真 的 就 舒服 吗,2,0.41443949937820435,
1594610552456328,小娘门罪有应得,小娘 门 罪有应得,2,0.4725555181503296,
1594246581960734,这娘门真牛,这 娘门 真牛,2,0.5401458740234375,
1594248758943747,这个老娘门本来就是日本人种下的。,这个 老娘门 本来 就是 日本人 种下 的 。,2,0.2891000211238861,
1594273818050567,这傻娘门，撑死你,这 傻娘 门 ， 撑死 你,2,0.5901938676834106,
1594341703798797,臭娘门，满嘴喷屎！欠揍！,臭娘门 ， 满嘴 喷屎 ！ 欠揍 ！,2,0.3225644528865814,re0 
678354,天生舔棒的料！这种女的娶回家，能让你家一片天都是绿的！别问我怎么知道的,天生 舔棒 的 料 ！ 这种 女 的 娶 回家 ， 能 让 你家 一片天 都 是 绿 的 ！ 别问 我 怎么 知道 的,2,0.5631356835365295,
58175685,舔棒高手呗,舔棒 高手 呗,2,0.5829145312309265,
942658293042,从小被夸腿好玩，没玩够？,从小 被 夸腿 好玩 ， 没 玩够 ？,2,0.17120683193206787,
6485602752,不▌见▌牛▌羊▌来▌吃▌草▌只▌见▌和▌尚▌来▌洗▌头,不 ▌ 见▌ 牛 ▌ 羊▌ 来 ▌ 吃 ▌ 草▌ 只▌ 见▌ 和 ▌尚 ▌ 来 ▌洗 ▌头,2,0.11942596733570099,
12364356,谁知道你是不是处[捂脸]，还敢要18w[大笑]。,谁 知道 你 是不是 处 [ 捂脸 ] ， 还 敢 要 18w [ 大笑 ] 。,2,0.07877930998802185,
6526427582,被上了六年，海内存知己，天涯6比0,被 上 了 六 年 ， 海内存知己 ， 天涯 6比0,2,0.34868136048316956,
9745575374,真无聊！缩回去算什么？把你的膜补起来，才算厉害。,真 无聊 ！ 缩回去 算什么 ？ 把 你 的 膜 补 起来 ， 才 算 厉害 。,2,0.18044021725654602,
937453864,我不介意她会不会说普通话，只要会叫就行,我 不 介意 她 会不会 说 普通话 ， 只要 会 叫 就 行,2,0.13765323162078857,
83642528462462,你替父日母？大不孝,你 替父 日母 ？ 大 不孝,2,0.31179919838905334,
5727894625824,晚上劳资口死你！,晚上 劳资口 死 你 ！,2,0.17523059248924255,
1594461953734664,邦硬哥,邦硬哥,2,0.198667511343956,re0 
1594464820545539,基尔邦硬？,基尔邦硬 ？,2,0.5109983682632446,re0 
1594573329631303,勘德沃基尔•邦硬,勘德 沃基尔 •邦硬,2,0.4981914758682251,
1594024776087560,老板，邦邦硬,老板 ， 邦邦硬,2,0.48912790417671204,
